18,3,PG-DESD,SIP
10,1,PG-DAC,SIP
90,1,PG-DAC,ACN
90,2,PG-DGI,ACN
12,1,PG-DMC,SIP
12,2,PG-DAC,ACN
12,3,PG-DESD,ACP
45,1,PG-DBDA,ACN
45,2,PG-DMC,SIP
45,3,PG-DGI,ACN
45,4,PG-DAC,ACP
134,1,PG-DBDA,ACP
134,2,PG-DAC,SIP
134,3,PG-DBDA,ACN
157,1,PG-DGI,ACN
157,2,PG-DBDA,ACN
157,3,PG-DBDA,ACP
20,1,PG-DAC,SIK
83,1,PG-DMC,SIP
154,1,PG-DMC,SIP
130,1,PG-DBDA,ACN
57,1,PG-DAC,SIK
57,2,PG-DGI,ACN
57,3,PG-DBDA,ACN
57,4,PG-DESD,ACP
160,1,PG-DAC,SIP
160,2,PG-DAC,ACP
48,1,PG-DGI,ACN
48,2,PG-DBDA,ACP
48,3,PG-DMC,SIP
6,1,PG-DESD,SIP
6,2,PG-DBDA,ACP
6,3,PG-DBDA,ACN
95,1,PG-DMC,SIP
95,2,PG-DGI,ACN
95,3,PG-DAC,SIP
95,4,PG-DBDA,ACN
44,1,PG-DBDA,ACP
153,1,PG-DGI,ACN
153,2,PG-DESD,ACP
153,3,PG-DMC,SIP
147,1,PG-DAC,ACN
55,1,PG-DAC,SIK
55,2,PG-DMC,SIP
55,3,PG-DGI,ACN
55,4,PG-DESD,ACN
21,1,PG-DAC,SIK
21,2,PG-DMC,SIP
13,1,PG-DBDA,SIP
155,1,PG-DBDA,ACP
155,2,PG-DBDA,SIP
107,1,PG-DAC,SIK
165,1,PG-DAC,SIP
123,1,PG-DAC,SIP
123,2,PG-DESD,SIP
158,1,PG-DAC,ACN
